unique_id,state,plant_name,utility_name,utility_id,county_code,county_name,latitude,longitude,fuel_type,nameplate_capacity,generation_mwh,emissions_tons
7380,ND,Tesoro Mandan Cogeneration Plant,Tesoro Refining and Marketing Co LLC,18668,59,Morton,46.8492,-100.8808,OTHF,8,59655,21293
7385,ND,Wilton Wind II LLC,Wilton Wind II LLC,56415,15,Burleigh,47.1333,-100.7011,WIND,50,163382,
7342,ND,FPL Energy Burleigh County Wind,FPL Energy Burleigh County Wind LLC,54717,15,Burleigh,47.1167,-100.7333,WIND,50,130402,
7362,ND,Luverne Wind Energy Center,Otter Tail Power Co,14232,91,Steele,47.3272,-97.8975,WIND,50,165726,
7345,ND,FPL Energy Oliver Wind II LLC,FPL Energy Oliver County Wind II LLC,54799,65,Oliver,47.152847,-101.197716,WIND,48,146841,
7320,ND,Ashtabula Wind Energy Center,Otter Tail Power Co,14232,3,Barnes,47.1244,-97.8961,WIND,48,139342,
7358,ND,Langdon Wind II LLC,FPL Energy Langdon Wind LLC,55799,19,Cavalier,48.6292,-98.3164,WIND,41,162703,
7357,ND,Langdon Wind Energy Center,Otter Tail Power Co,14232,19,Cavalier,48.6303,-98.3169,WIND,41,137190,
7376,ND,Spiritwood Station,Great River Energy,7570,93,Stutsman,46.926423,-98.499713,COAL,106,181335,105556
7369,ND,Pioneer Generating Station,Basin Electric Power Coop,1307,105,Williams,48.2325,-103.95278,GAS,293,506924,177523
7333,ND,Cedar Hills Wind Farm,Montana-Dakota Utilities Co,12199,11,Bowman,46.245556,-103.767222,WIND,20,51692,
7374,ND,R M Heskett,Montana-Dakota Utilities Co,12199,59,Morton,46.8669,-100.8836,COAL,291,439440,512397
7361,ND,Lonesome Creek Station,Basin Electric Power Coop,1307,53,McKenzie,47.796667,-103.57861,GAS,303,861914,545174
7382,ND,Velva Windfarm LLC,Acciona Wind Energy USA LLC,55918,49,McHenry,48.083625,-100.9215,WIND,12,27448,
7336,ND,Coyote,Otter Tail Power Co,14232,57,Mercer,47.221447,-101.815722,COAL,450,2061731,2530777
7365,ND,Minot Wind Project,Basin Electric Power Coop,1307,101,Ward,48.021271,-101.280517,WIND,7,17518,
7359,ND,Leland Olds,Basin Electric Power Coop,1307,57,Mercer,47.280769,-101.321213,COAL,656,3605405,4538457
7364,ND,Milton R Young,"Minnkota Power Coop, Inc",12658,65,Oliver,47.065854,-101.213093,COAL,734,4705187,5609127
7319,ND,Antelope Valley,Basin Electric Power Coop,1307,57,Mercer,47.370542,-101.83566,COAL,954,6097829,7357674
7334,ND,Coal Creek,Great River Energy,7570,55,McLean,47.377743,-101.157058,COAL,1218,8192593,8153706
7377,ND,Stanton,Great River Energy,7570,57,Mercer,47.286643,-101.331908,,191,,
7351,ND,Grand Forks,"Minnkota Power Coop, Inc",12658,35,Grand Forks,47.9383,-97.935,OIL,11,,
7384,ND,Williston,Montana-Dakota Utilities Co,12199,105,Williams,48.145,-103.1364,GAS,10,,
7317,ND,American Crystal Sugar Drayton,American Crystal Sugar Co,491,67,Pembina,48.593158,-97.17608,COAL,6,0,
7349,ND,Glen Ullin Station 6,Montana-Dakota Utilities Co,12199,59,Morton,46.8214,-101.7564,OTHF,5,42254,
7352,ND,Harwood,"Minnkota Power Coop, Inc",12658,17,Cass,46.9986,-96.9975,OIL,5,,
7350,ND,Grafton,City of Grafton - (ND),7444,99,Walsh,48.430028,-97.403328,OIL,4,0,
7383,ND,Walhalla,Archer Daniels Midland Co,772,67,Pembina,48.908944,-97.886521,COAL,2,,
7370,ND,Portable Generator 1,Montana-Dakota Utilities Co,12199,53,Mckenzie,47.833333,-103.643611,OIL,2,,
7337,ND,Dakota Magic,Dakota Magic Casino,4775,77,Richland,45.938611,-96.835833,OIL,2,0,
7368,ND,Pembina Land Port of Entry Wind Turbine,General Services Administration - Region 8,62645,67,Pembina,48.996866,-97.24161,WIND,1,0,
6680,NC,"Edgecombe Genco, LLC",Edgecombe Operating Services LLC,55739,65,Edgecombe,36.037318,-77.753345,COAL,115,0,0
6632,NC,Craven County Wood Energy,CMS Generation Operating Co II,3837,49,Craven,35.130193,-77.167883,BIOMASS,50,326608,0
6978,NC,NC Renewable Power - Lumberton LLC,NC Renewable Power - Lumberton LLC,59593,155,Robeson,34.59,-78.9968,BIOMASS,35,133621,0
6922,NC,McGuire,"Duke Energy Carolinas, LLC",5416,119,Mecklenburg,35.4331,-80.9486,NUCLEAR,2441,19588255,
6556,NC,Brunswick Nuclear,Duke Energy Progress - (NC),3046,19,Brunswick,33.9597,-78.0114,NUCLEAR,2003,14716756,
7228,NC,Uwharrie Mountain Renewable,"Uwharrie Mountain Renewable Energy, LLC",58502,123,Montgomery,35.332974,-79.964939,BIOMASS,10,60706,0
7105,NC,Salem Energy Systems LLC,Salem Energy Systems LLC,22331,67,Forsyth,36.191241,-80.183458,BIOMASS,9,29818,0
6754,NC,GRS CMS,Gas Recovery Systems Inc,25049,25,Cabarrus,35.353269,-80.668024,BIOMASS,5,25653,0
7005,NC,Orbit Energy Charlotte,"Entropy Investment Management, LLC",61249,119,Mecklenburg,35.2625,-80.811667,BIOMASS,5,1992,0
7280,NC,White Street Renewables,White Street Renewables LLC,60154,81,Guilford,36.10447,-79.723622,BIOMASS,5,6745,0
6735,NC,Gaston County Renewable Energy Center,Gaston County Solid Waste and Recycling Division,61382,71,Gaston,35.3857,-81.172,BIOMASS,4,27858,0
7074,NC,Reventure Park,Clean Energy LLC,58748,119,Mecklenburg,35.294444,-80.998889,BIOMASS,4,21920,0
6833,NC,Iredell County LFG Facility,Iredell Transmission LLC,56261,97,Iredell,35.769281,-80.826001,BIOMASS,3,26021,0
6529,NC,Blackburn Landfill Co-Generation,Catawba County,3057,35,Catawba,35.6067,-81.3006,BIOMASS,3,14080,0
7262,NC,Waste Management Piedmont LFGTE Project,WM Renewable Energy LLC,54842,67,Forsyth,36.193611,-80.040555,BIOMASS,2,13503,0
7004,NC,Onslow Power Producers,"Cube District Energy, LLC",61038,133,Onslow,34.7975,-77.543056,BIOMASS,2,8355,0
6575,NC,Carolina Poultry Power Farmville,Carolina Poultry Power,62749,147,Pitt,35.591719,-77.614507,BIOMASS,2,263,0
6602,NC,"CII Methane Management IV, LLC",Frontier Operation Services,63199,101,Johnston,35.511903,-78.433794,BIOMASS,2,9810,0
6611,NC,"COC Surry LFG, LLC",Petra Engineering,59177,171,Surry,36.438611,-80.568333,BIOMASS,2,8170,0
6645,NC,Davidson Gas Producers LLC,Davidson Gas Producers LLC,56760,57,Davidson,35.841299,-80.183458,BIOMASS,2,13696,0
6963,NC,MP Wayne LLC,MP Wayne LLC,56704,191,Wayne,35.2889,-78.0703,BIOMASS,3,9505,0
6962,NC,MP Durham LLC,MP Durham LLC,56703,63,Durham,36.0311,-78.86,BIOMASS,3,13239,0
6763,NC,Harris,Duke Energy Progress - (NC),3046,183,Wake,35.6334,-78.9556,NUCLEAR,951,7610594,
7108,NC,Sampson County Disposal,Black Creek Renewable Energy LLC,56814,163,Sampson,34.9856,-78.4625,BIOMASS,13,63326,0
6615,NC,Concord Energy,Concord Energy LLC,57258,25,Cabarrus,35.34598,-80.670385,BIOMASS,10,58215,0
6542,NC,Bostic Delivery No 2,North Carolina Mun Power Agny #1,13630,161,Rutherford,35.3619,-81.8344,OIL,1,-15,1
7130,NC,"Shelby, Toms Street",North Carolina Mun Power Agny #1,13630,45,Cleveland,35.3036,-81.5225,OIL,2,-44,2
6870,NC,Landis Delivery No 2,North Carolina Mun Power Agny #1,13630,159,Rowan,35.541982,-80.612301,OIL,2,-46,3
7171,NC,Statesville Delivery No 3,North Carolina Mun Power Agny #1,13630,97,Iredell,35.7972,-80.8542,OIL,2,-46,3
7042,NC,Pineville Delivery 2,North Carolina Mun Power Agny #1,13630,119,Mecklenburg,35.0767,-80.8816,OIL,2,-37,3
6798,NC,Huntersville Delivery No 2,North Carolina Mun Power Agny #1,13630,119,Mecklenburg,35.383222,-80.832879,OIL,2,-45,3
6957,NC,"Morganton, Parker Road",North Carolina Mun Power Agny #1,13630,23,Burke,35.7208,-81.66243,OIL,2,-26,5
6956,NC,Morganton Station 5,North Carolina Mun Power Agny #1,13630,23,Burke,35.729,-81.748075,OIL,2,-31,5
6885,NC,Lexington Health Center,North Carolina Mun Power Agny #1,13630,57,Davidson,35.830877,-80.242154,OIL,2,-33,5
6780,NC,"High Point, Fairfield",North Carolina Mun Power Agny #1,13630,81,Guilford,35.924393,-79.990124,OIL,2,-39,5
7173,NC,"Statesville, Highway 64",North Carolina Mun Power Agny #1,13630,97,Iredell,35.798462,-80.942709,OIL,2,-40,5
6884,NC,Lexington,North Carolina Mun Power Agny #1,13630,57,Davidson,35.7736,-80.2594,OIL,4,-58,9
6622,NC,Cornelius Delivery No 1,North Carolina Mun Power Agny #1,13630,119,Mecklenburg,35.483274,-80.856916,OIL,2,-48,11
7305,NC,Works 53,PPG Ind Fiber Glass Prdcts Inc,57422,57,Davidson,35.755,-80.277778,OIL,3,16,27
6736,NC,Gaston Memorial Hospital,Gastonia City of,56960,71,Gaston,35.2747,-81.1383,OIL,2,46,34
6580,NC,Catawba River Pollution Control,City of Morganton - (NC),12944,23,Burke,35.7766,-81.6643,OIL,1,5,56
6946,NC,Monroe Middle School,North Carolina Mun Power Agny #1,13630,179,Union,34.973274,-80.540038,OIL,2,46,64
7275,NC,Westside WWTP,City Of High Point,56934,57,Davidson,35.9403,-80.1106,OIL,2,104,69
7263,NC,Water Filter Plant #2,City of Morganton - (NC),12944,23,Burke,35.737748,-81.7278,OIL,3,38,76
6749,NC,Granite Falls Walmart,North Carolina Mun Power Agny #1,13630,27,Caldwell,35.7811,-81.3928,OIL,2,44,78
6595,NC,Cherryville City Hall,North Carolina Mun Power Agny #1,13630,71,Gaston,35.3778,-81.38,OIL,2,63,79
6663,NC,Drexel Operations Center,North Carolina Mun Power Agny #1,13630,23,Burke,35.7481,-81.6072,OIL,2,55,80
6891,NC,Lincolnton High School,North Carolina Mun Power Agny #1,13630,109,Lincoln,35.477415,-81.262259,OIL,2,74,88
6901,NC,Maiden Community Center,North Carolina Mun Power Agny #1,13630,35,Catawba,35.5772,-81.2081,OIL,2,84,92
7251,NC,Ward WTP,City Of High Point,56934,81,Guilford,35.9678,-79.9708,OIL,2,107,94
6782,NC,"High Point, POLO",North Carolina Mun Power Agny #1,13630,81,Guilford,35.97,-79.96,OIL,2,85,100
7139,NC,Smithfield Farmland Corp Bladen,Smithfield Fresh Meats Corp.,17449,17,Bladen,34.74625,-78.807292,OIL,29,87,114
6456,NC,Albemarle Hospital Unit,North Carolina Mun Power Agny #1,13630,167,Stanly,35.3636,-80.1939,OIL,2,132,124
6629,NC,Cowans Ford,"Duke Energy Carolinas, LLC",5416,109,Lincoln,35.4346,-80.9588,HYDRO,350,263714,
6740,NC,Gastonia Prime Power Park,North Carolina Mun Power Agny #1,13630,71,Gaston,35.3017,-81.2092,OIL,12,-44,179
6783,NC,"High Point, Pump Station Rd",North Carolina Mun Power Agny #1,13630,81,Guilford,35.9861,-79.9497,OIL,4,146,179
6675,NC,Eastside WWTP,City Of High Point,56934,81,Guilford,35.9428,-79.9089,OIL,5,209,192
6743,NC,"Gastonia, Tulip Drive",North Carolina Mun Power Agny #1,13630,71,Gaston,35.28914,-81.205219,OIL,5,122,193
6457,NC,Albemarle Prime Power Park,North Carolina Mun Power Agny #1,13630,167,Stanly,35.407208,-80.151849,OIL,4,168,193
6998,NC,Ocracoke Hybrid,North Carolina El Member Corp,13683,95,Hyde,35.109444,-75.979722,OIL,4,132,198
7140,NC,Smithfield Packaged Meats Corp.,Smithfield Packaged Meats Corp.,18065,195,WILSON,35.694344,-77.91919,OIL,3,310,207
6678,NC,Edenton Generators,Town of Edenton - (NC),6710,41,Chowan,36.028611,-76.571944,OIL,4,135,256
6895,NC,Long Creek Waste Water Plant,Gastonia City of,56960,71,Gaston,35.3119,-81.1414,OIL,5,276,276
6716,NC,Fontana Dam,Tennessee Valley Authority,18642,173,Swain,35.4507,-83.805,HYDRO,255,1136206,
6664,NC,DSM Pharmaceuticals,Patheon Manufacturing Service LLC,59895,147,Pitt,35.665961,-77.35744,GAS,9,1172,575
6534,NC,Blewett,Duke Energy Progress - (NC),3046,7,Anson,34.9833,-79.8775,OIL,95,-956,586
6564,NC,Buxton,North Carolina El Member Corp,13683,55,Dare,35.267222,-75.534722,OIL,15,549,587
6985,NC,New Bern,Industrial Power Generating Company LLC,55938,49,Craven,35.1681,-77.2267,BIOMASS,5,19213,604
7141,NC,Smithfield Packaged Meats Corp.,Smithfield Packaged Meats Corp,58536,107,Lenoir,35.268333,-77.659167,OIL,9,1286,698
6594,NC,Cheoah,Brookfield Smoky Mountain Hydropower LP,306,75,Graham,35.4478,-83.9383,HYDRO,220,685073,
6655,NC,"Desert Wind Farm, LLC",Avangrid Renewables LLC,15399,143,Perquimans,36.31,-76.42,WIND,208,523139,
6945,NC,Monroe Generating Station,North Carolina Mun Power Agny #1,13630,179,Union,34.985814,-80.506037,GAS,30,1224,1223
6734,NC,Gaston,Virginia Electric & Power Co,19876,83,Halifax,36.499147,-77.811543,HYDRO,178,368277,
7245,NC,Wake County LFG Facility,"Ingenco Renewable Development, LLC",59452,183,Wake,35.674,-78.854,BIOMASS,9,49573,1250
6791,NC,Hiwassee Dam,Tennessee Valley Authority,18642,39,Cherokee,35.150864,-84.177533,HYDRO,166,342215,
7237,NC,W H Weatherspoon,Duke Energy Progress - (NC),3046,155,Robeson,34.587538,-78.97552,OIL,329,-118,1993
7092,NC,Rosemary Power Station,Virginia Electric & Power Co,19876,83,Halifax,36.4517,-77.6594,OIL,180,2992,2534
6972,NC,Narrows (NC),Cube Hydro Carolinas Yadkin,317,167,Stanly,35.4189,-80.0917,HYDRO,109,578985,
7248,NC,Walters,Duke Energy Progress - (NC),3046,87,Haywood,35.6946,-83.0503,HYDRO,108,441426,
6805,NC,Ingredion Winston Salem,Ingredion Inc - Winston Salem,4417,67,Forsyth,36.033761,-80.227404,BIOMASS,8,45605,4827
6702,NC,Fern Solar LLC,BayWa r.e. Solar Projects LLC,59613,65,Edgecombe,36.003272,-77.696443,SOLAR,100,,
