Year,MSHA_ID,mine_name,mine_type,mstafips,state,county,mctyfips,lat,lon,production
2018,4609490,Pollock Knob Surface Mine,Surface,54,West Virginia,Greenbrier,25,38.0475,-80.641667,42564
2018,4609271,Mine No 3,Underground,54,West Virginia,Mcdowell,47,37.334722,-81.687778,42331
2018,1800372,No 1 Strip,Surface,24,Maryland,Garrett,23,39.4,-79.175,41809
2018,4003353,Shw-14,Surface,47,Tennessee,Claiborne,25,36.545556,-83.936667,41751
2018,1519811,No. 2,Surface,21,Kentucky,Lawrence,127,37.973333,-82.714444,41633
2018,1519260,D-5 Mine,Underground,21,Kentucky,Harlan,95,36.890833,-83.056111,41307
2018,4407306,Omm,Underground,51,Virginia,Dickenson,51,37.106667,-82.395833,41228
2018,1519823,White Oak,Surface,21,Kentucky,Martin,159,37.762222,-82.438889,40490
2018,1519799,Fedscreek Surface,Surface,21,Kentucky,Pike,195,37.393611,-82.174167,39655
2018,4407124,True Energy Fuels Mine No. 2,Surface,51,Virginia,Wise,195,37.099836,-82.618495,39425
2018,1518982,Sturgeon Freeman Fork,Surface,21,Kentucky,Breathitt,25,37.345833,-83.534722,39236
2018,1518988,Red Fox,Surface,21,Kentucky,Knott,119,37.031435,-82.091672,38227
2018,3608750,"Bell Resources, Inc",Surface,42,Pennsylvania,Clearfield,33,40.999167,-78.683056,37916
2018,1519814,Maple Creek Springtown,Surface,21,Kentucky,Whitley,235,36.820833,-84.054722,37327
2018,4609018,No. 8,Underground,54,West Virginia,Mingo,59,37.644722,-81.957778,37293
2018,1517979,Mine No. 8,Underground,21,Kentucky,Pike,195,37.444722,-82.252222,37212
2018,4609532,Salem Auger #41,Surface,54,West Virginia,Boone,5,38.152222,-81.838333,37211
2018,3609819,K & A Strips,Surface,42,Pennsylvania,Clarion,31,41.204759,-79.742103,37139
2018,4608818,Callisto Mine,Surface,54,West Virginia,Boone,5,37.939722,-81.6875,36630
2018,4407172,Virginia Point No. 1 Surface M,Surface,51,Virginia,Tazewell,185,37.248333,-81.497222,36583
2018,4407217,No 10,Underground,51,Virginia,Dickenson,51,37.043889,-82.260833,36385
2018,1517691,Mine #3,Underground,21,Kentucky,Knox,121,36.799865,-83.890946,35439
2018,3607550,Swisher Contracting Inc.,Surface,42,Pennsylvania,Clearfield,33,41.041667,-78.398611,35326
2018,4003274,Empire,Surface,54,West Virginia,Fayette,19,38.159167,-81.25,35169
2018,1518001,Blackberry #1,Underground,21,Kentucky,Pike,195,37.534722,-82.224167,33626
2018,4407268,Lower Mill,Underground,51,Virginia,Buchanan,27,37.314599,-82.070932,33356
2018,3605828,Yenzi Strip #3 Mine,Surface,42,Pennsylvania,Jefferson,65,41.058333,-78.891667,33336
2018,4609521,Puncheoncamp Surface Mine,Surface,54,West Virginia,Mcdowell,47,37.358333,-81.395,32921
2018,3609666,Horning Deep Mine,Underground,42,Pennsylvania,Somerset,111,39.988611,-78.948056,32616
2018,1518829,Cam Creek Mine,Surface,21,Kentucky,Lawrence,127,38.048889,-82.951389,32404
2018,3610021,11,Surface,54,West Virginia,Monongalia,61,39.099722,-80.166389,31836
2018,1519818,Imperial Hollow Mine,Surface,21,Kentucky,Whitley,235,36.852778,-84.111667,31610
2018,3600884,"River Hill Coal Co., Inc.",Surface,42,Pennsylvania,Clearfield,33,41.111073,-78.169917,31194
2018,1800529,Cobra No 1,Surface,24,Maryland,Allegany,1,39.526111,-79.005,31122
2018,103432,Skelton Creek,Surface,1,Alabama,Jefferson,73,33.746667,-87.265278,30892
2018,1519272,Lowsplint Surface,Surface,21,Kentucky,Bell,13,36.585278,-83.892222,30732
2018,3608248,Shawver Operation,Surface,42,Pennsylvania,Clearfield,33,40.835063,-78.395746,30429
2018,3601241,Rockton/Shaffer Mine,Surface,42,Pennsylvania,Clearfield,33,41.082222,-78.659167,30305
2018,3610225,Spring Mountain Strip,Surface,42,Pennsylvania,Carbon,25,40.925,-75.973889,30182
2018,1519834,Redhawk #7,Underground,21,Kentucky,Floyd,71,37.568889,-82.696944,29780
2018,4607366,No 1,Underground,54,West Virginia,Mcdowell,47,37.409167,-81.545833,29355
2018,4609480,Skyway Iii Mine,Surface,54,West Virginia,Mcdowell,47,37.408611,-81.555,29122
2018,4407212,Hackney,Surface,51,Virginia,Buchanan,27,37.363056,-82.198889,28017
2018,3607670,King #1,Surface,42,Pennsylvania,Clearfield,33,40.975,-78.175,27039
2018,1518050,No. 2,Underground,21,Kentucky,Pike,195,37.534167,-82.222778,26649
2018,3609558,Locust Summit Strip Mine,Surface,42,Pennsylvania,Northumberland,97,40.775278,-76.408333,26469
2018,4609485,Atwell Branch Surface Mine,Surface,54,West Virginia,Mcdowell,47,37.360556,-81.751667,26091
